sample	condition
sample_157	T_NA
sample_157	T_NA
sample_157	T_NA
sample_158	T_NA
sample_158	T_NA
sample_158	T_NA
sample_159	T_NA
sample_159	T_NA
sample_159	T_NA
sample_160	T_NA
sample_160	T_NA
sample_160	T_NA
sample_221	T_NA
sample_221	T_NA
sample_221	T_NA
sample_222	T_NA
sample_222	T_NA
sample_222	T_NA
sample_223	T_NA
sample_223	T_NA
sample_223	T_NA
sample_224	T_NA
sample_224	T_NA
sample_224	T_NA
sample_253	T_NA
sample_253	T_NA
sample_253	T_NA
sample_254	T_NA
sample_254	T_NA
sample_254	T_NA
sample_255	T_NA
sample_255	T_NA
sample_255	T_NA
sample_256	T_NA
sample_256	T_NA
sample_256	T_NA
sample_277	T_NA
sample_277	T_NA
sample_277	T_NA
sample_278	T_NA
sample_278	T_NA
sample_278	T_NA
sample_279	T_NA
sample_279	T_NA
sample_279	T_NA
sample_280	T_NA
sample_280	T_NA
sample_280	T_NA
sample_325	T_NA
sample_325	T_NA
sample_325	T_NA
sample_326	T_NA
sample_326	T_NA
sample_326	T_NA
sample_327	T_NA
sample_327	T_NA
sample_327	T_NA
sample_328	T_NA
sample_328	T_NA
sample_328	T_NA
sample_330	T_NA
sample_330	T_NA
sample_330	T_NA
sample_331	T_NA
sample_331	T_NA
sample_331	T_NA
sample_332	T_NA
sample_332	T_NA
sample_332	T_NA
sample_37	T_NA
sample_37	T_NA
sample_37	T_NA
sample_38	T_NA
sample_38	T_NA
sample_38	T_NA
sample_39	T_NA
sample_39	T_NA
sample_39	T_NA
sample_40	T_NA
sample_40	T_NA
sample_40	T_NA
sample_405	T_NA
sample_405	T_NA
sample_405	T_NA
sample_406	T_NA
sample_406	T_NA
sample_406	T_NA
sample_407	T_NA
sample_407	T_NA
sample_407	T_NA
sample_408	T_NA
sample_408	T_NA
sample_408	T_NA
sample_417	T_NA
sample_417	T_NA
sample_417	T_NA
sample_418	T_NA
sample_418	T_NA
sample_418	T_NA
sample_419	T_NA
sample_419	T_NA
sample_419	T_NA
sample_420	T_NA
sample_420	T_NA
sample_420	T_NA
sample_445	T_NA
sample_445	T_NA
sample_445	T_NA
sample_446	T_NA
sample_446	T_NA
sample_446	T_NA
sample_447	T_NA
sample_447	T_NA
sample_447	T_NA
sample_448	T_NA
sample_448	T_NA
sample_448	T_NA
sample_489	T_NA
