sample	condition	sample	unit	fq1	fq2
sample_157	T_NA	sample_157	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_C12-157_S787-S588_L2_L002_ds.7991c723eeac4343bcd872aff26b9fe9/157_S268_L002_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_C12-157_S787-S588_L2_L002_ds.7991c723eeac4343bcd872aff26b9fe9/157_S268_L002_R2_001.fastq.gz
sample_157	T_NA	sample_157	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_C12-157_S787-S588_L3_L003_ds.23062c34605641d4bd8959fd2409e5f5/157_S403_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_C12-157_S787-S588_L3_L003_ds.23062c34605641d4bd8959fd2409e5f5/157_S403_L003_R2_001.fastq.gz
sample_157	T_NA	sample_157	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/157_L1_L001/C12_157_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/157_L1_L001/C12_157_L1_L001R2.fastq.gz
sample_158	T_NA	sample_158	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_B12-158_S789-S579_L2_L002_ds.d24ab68d8b904219bc9ed694d9f28c59/158_S269_L002_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_B12-158_S789-S579_L2_L002_ds.d24ab68d8b904219bc9ed694d9f28c59/158_S269_L002_R2_001.fastq.gz
sample_158	T_NA	sample_158	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_B12-158_S789-S579_L3_L003_ds.5d40d51e4a5e48ab9e163956f139c661/158_S404_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_B12-158_S789-S579_L3_L003_ds.5d40d51e4a5e48ab9e163956f139c661/158_S404_L003_R2_001.fastq.gz
sample_158	T_NA	sample_158	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/158_L1_L001/B12_158_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/158_L1_L001/B12_158_L1_L001R2.fastq.gz
sample_159	T_NA	sample_159	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_A12-159_S731-S571_L2_L002_ds.9e0c01edc7f54cd893eee515f3b76144/159_S270_L002_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_A12-159_S731-S571_L2_L002_ds.9e0c01edc7f54cd893eee515f3b76144/159_S270_L002_R2_001.fastq.gz
sample_159	T_NA	sample_159	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_A12-159_S731-S571_L3_L003_ds.0e90dcf91dbe4c488171094e2db6a6ce/159_S405_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_A12-159_S731-S571_L3_L003_ds.0e90dcf91dbe4c488171094e2db6a6ce/159_S405_L003_R2_001.fastq.gz
sample_159	T_NA	sample_159	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/159_L1_L001/A12_159_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/159_L1_L001/A12_159_L1_L001R2.fastq.gz
sample_160	T_NA	sample_160	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_H6-160_P7104-P5997_L3_L003_ds.ffc7e751e3354fcabd3c4f97e596d51f/160_S271_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_H6-160_P7104-P5997_L3_L003_ds.ffc7e751e3354fcabd3c4f97e596d51f/160_S271_L003_R2_001.fastq.gz
sample_160	T_NA	sample_160	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/160_L1_L001/H6_160_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/160_L1_L001/H6_160_L1_L001R2.fastq.gz
sample_160	T_NA	sample_160	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/160_L2_L002/H6_160_L2_L002R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/160_L2_L002/H6_160_L2_L002R2.fastq.gz
sample_221	T_NA	sample_221	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_G1-221_P7146-P5117_L3_L003_ds.764aec108dc14908a6556eb31c048b8d/221_S272_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_G1-221_P7146-P5117_L3_L003_ds.764aec108dc14908a6556eb31c048b8d/221_S272_L003_R2_001.fastq.gz
sample_221	T_NA	sample_221	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/221_L1_L001/G1_221_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/221_L1_L001/G1_221_L1_L001R2.fastq.gz
sample_221	T_NA	sample_221	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/221_L2_L002/G1_221_L2_L002R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/221_L2_L002/G1_221_L2_L002R2.fastq.gz
sample_222	T_NA	sample_222	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_F1-222_P7143-P5111_L3_L003_ds.14f45a42a38b4abe95d3c6cd77f5ddd7/222_S273_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_F1-222_P7143-P5111_L3_L003_ds.14f45a42a38b4abe95d3c6cd77f5ddd7/222_S273_L003_R2_001.fastq.gz
sample_222	T_NA	sample_222	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/222_L1_L001/F1_222_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/222_L1_L001/F1_222_L1_L001R2.fastq.gz
sample_222	T_NA	sample_222	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/222_L2_L002/F1_222_L2_L002R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/222_L2_L002/F1_222_L2_L002R2.fastq.gz
sample_223	T_NA	sample_223	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_E1-223_P7142-P5109_L3_L003_ds.16a0da749c0849f4a4bbf34e48ffc1e3/223_S274_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_E1-223_P7142-P5109_L3_L003_ds.16a0da749c0849f4a4bbf34e48ffc1e3/223_S274_L003_R2_001.fastq.gz
sample_223	T_NA	sample_223	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/223_L1_L001/E1_223_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/223_L1_L001/E1_223_L1_L001R2.fastq.gz
sample_223	T_NA	sample_223	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/223_L2_L002/E1_223_L2_L002R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/223_L2_L002/E1_223_L2_L002R2.fastq.gz
sample_224	T_NA	sample_224	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_D1-224_P7141-P5108_L3_L003_ds.e6778dd70d68415bb3245d63c6e6da21/224_S275_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_D1-224_P7141-P5108_L3_L003_ds.e6778dd70d68415bb3245d63c6e6da21/224_S275_L003_R2_001.fastq.gz
sample_224	T_NA	sample_224	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/224_L1_L001/D1_224_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/224_L1_L001/D1_224_L1_L001R2.fastq.gz
